case_id,file,bytes,last_write_time,copied_to_export
batch2_slope10_mu0600,GaugesVel_V02.csv,550567,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V03.csv,562141,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V04.csv,526994,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V05.csv,563815,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V06.csv,350069,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V07.csv,502222,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V08.csv,369253,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V09.csv,335641,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V10.csv,376072,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V11.csv,290069,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V12.csv,280069,2026-05-05T00:55:22,False
batch2_slope10_mu0600,Run.csv,1077,2026-05-05T00:55:22,True
batch2_slope10_mu0600,RunPARTs.csv,2548,2026-05-05T00:55:22,True
batch2_slope10_mu0650,ChronoBody_forces.csv,1569651,2026-05-05T05:10:45,False
batch2_slope10_mu0650,ChronoExchange_mkbound_51.csv,1647328,2026-05-05T05:10:45,False
batch2_slope10_mu0650,GaugesMaxZ_hmax01.csv,336937,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesMaxZ_hmax02.csv,300988,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesMaxZ_hmax03.csv,363029,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesMaxZ_hmax04.csv,351896,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesMaxZ_hmax05.csv,388070,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesMaxZ_hmax06.csv,362568,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesMaxZ_hmax07.csv,340045,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesMaxZ_hmax08.csv,340045,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V01.csv,593281,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V02.csv,551733,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V03.csv,562453,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V04.csv,527530,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V05.csv,569529,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V06.csv,350069,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V07.csv,493766,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V08.csv,368637,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V09.csv,339076,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V10.csv,376041,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V11.csv,290069,2026-05-05T05:10:47,False
batch2_slope10_mu0650,GaugesVel_V12.csv,280069,2026-05-05T05:10:47,False
batch2_slope10_mu0650,Run.csv,1076,2026-05-05T05:10:47,True
batch2_slope10_mu0650,RunPARTs.csv,2548,2026-05-05T05:10:47,True
